deck,opponent,winrate
gardevoir,gardevoir,
joltik-box,gardevoir,0.414
dragapult,gardevoir,0.330
raging-bolt/ogerpon,gardevoir,0.353
dragapult/dusknoir,gardevoir,0.384
gholdengo,gardevoir,0.434
gholdengo/dragapult,gardevoir,0.546
tera-box,gardevoir,0.380
n-zoroark,gardevoir,0.695
flareon/noctowl,gardevoir,0.441
gardevoir,joltik-box,0.455
joltik-box,joltik-box,
dragapult,joltik-box,0.361
raging-bolt/ogerpon,joltik-box,0.445
dragapult/dusknoir,joltik-box,0.432
gholdengo,joltik-box,0.406
gholdengo/dragapult,joltik-box,0.475
tera-box,joltik-box,0.253
n-zoroark,joltik-box,0.167
flareon/noctowl,joltik-box,0.343
gardevoir,dragapult,0.477
joltik-box,dragapult,0.512
dragapult,dragapult,
raging-bolt/ogerpon,dragapult,0.346
dragapult/dusknoir,dragapult,0.385
gholdengo,dragapult,0.270
gholdengo/dragapult,dragapult,0.375
tera-box,dragapult,0.409
n-zoroark,dragapult,0.456
flareon/noctowl,dragapult,0.432
gardevoir,raging-bolt/ogerpon,0.403
joltik-box,raging-bolt/ogerpon,0.403
dragapult,raging-bolt/ogerpon,0.452
raging-bolt/ogerpon,raging-bolt/ogerpon,
dragapult/dusknoir,raging-bolt/ogerpon,0.395
gholdengo,raging-bolt/ogerpon,0.494
gholdengo/dragapult,raging-bolt/ogerpon,0.356
tera-box,raging-bolt/ogerpon,0.605
n-zoroark,raging-bolt/ogerpon,0.311
flareon/noctowl,raging-bolt/ogerpon,0.479
gardevoir,dragapult/dusknoir,0.495
joltik-box,dragapult/dusknoir,0.495
dragapult,dragapult/dusknoir,0.526
raging-bolt/ogerpon,dragapult/dusknoir,0.421
dragapult/dusknoir,dragapult/dusknoir,
gholdengo,dragapult/dusknoir,0.393
gholdengo/dragapult,dragapult/dusknoir,0.500
tera-box,dragapult/dusknoir,0.473
n-zoroark,dragapult/dusknoir,0.484
flareon/noctowl,dragapult/dusknoir,0.442
gardevoir,gholdengo,0.343
joltik-box,gholdengo,0.446
dragapult,gholdengo,0.554
raging-bolt/ogerpon,gholdengo,0.392
dragapult/dusknoir,gholdengo,0.357
gholdengo,gholdengo,
gholdengo/dragapult,gholdengo,0.379
tera-box,gholdengo,0.561
n-zoroark,gholdengo,0.600
flareon/noctowl,gholdengo,0.629
gardevoir,gholdengo/dragapult,0.315
joltik-box,gholdengo/dragapult,0.366
dragapult,gholdengo/dragapult,0.438
raging-bolt/ogerpon,gholdengo/dragapult,0.508
dragapult/dusknoir,gholdengo/dragapult,0.327
gholdengo,gholdengo/dragapult,0.414
gholdengo/dragapult,gholdengo/dragapult,
tera-box,gholdengo/dragapult,0.356
n-zoroark,gholdengo/dragapult,0.455
flareon/noctowl,gholdengo/dragapult,0.541
gardevoir,tera-box,0.392
joltik-box,tera-box,0.627
dragapult,tera-box,0.455
raging-bolt/ogerpon,tera-box,0.279
dragapult/dusknoir,tera-box,0.400
gholdengo,tera-box,0.333
gholdengo/dragapult,tera-box,0.444
tera-box,tera-box,
n-zoroark,tera-box,0.231
flareon/noctowl,tera-box,0.333
gardevoir,n-zoroark,0.137
joltik-box,n-zoroark,0.726
dragapult,n-zoroark,0.412
raging-bolt/ogerpon,n-zoroark,0.444
dragapult/dusknoir,n-zoroark,0.323
gholdengo,n-zoroark,0.225
gholdengo/dragapult,n-zoroark,0.364
tera-box,n-zoroark,0.654
n-zoroark,n-zoroark,
flareon/noctowl,n-zoroark,0.538
gardevoir,flareon/noctowl,0.390
joltik-box,flareon/noctowl,0.478
dragapult,flareon/noctowl,0.392
raging-bolt/ogerpon,flareon/noctowl,0.354
dragapult/dusknoir,flareon/noctowl,0.326
gholdengo,flareon/noctowl,0.200
gholdengo/dragapult,flareon/noctowl,0.378
tera-box,flareon/noctowl,0.500
n-zoroark,flareon/noctowl,0.231
flareon/noctowl,flareon/noctowl,
